<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBER;60;200319;100000;178.5;182;173.06;178.25;22932950
SBER;60;200319;110000;178.19;187.5;177;186.45;35493940
SBER;60;200319;120000;186.5;190.15;185.5;185.86;33403910
SBER;60;200319;130000;185.86;188.25;185.3;185.52;16116290
SBER;60;200319;140000;185.45;185.97;180.15;182.77;18213030
SBER;60;200319;150000;182.68;184.8;180.82;184.78;15112850
SBER;60;200319;160000;184.78;184.78;180.55;184.3;10519560
SBER;60;200319;170000;184.21;188.5;183.1;186.12;17636320
SBER;60;200319;180000;186.12;189.98;181.05;189.51;17793520
SBER;60;200320;100000;198.62;201.86;194;197.56;30212780
SBER;60;200320;110000;197.5;201.5;197.3;200.93;25237260
SBER;60;200320;120000;200.92;201.37;199.02;200;10112210
SBER;60;200320;130000;199.9;200.29;196.5;196.75;13360970
SBER;60;200320;140000;196.76;199.35;196.61;198.65;10926410
SBER;60;200320;150000;198.65;199.6;192.51;193.9;20291360
SBER;60;200320;160000;193.87;196.57;192.05;193.03;16325750
SBER;60;200320;170000;192.99;197.49;192.74;197.11;16859720
SBER;60;200320;180000;197.18;197.66;195;195.69;26798490
SBER;60;200323;100000;188;189.73;185.11;186.1;27436560
SBER;60;200323;110000;186.08;186.5;182.1;182.98;20560730
SBER;60;200323;120000;182.98;184.88;182.89;184.01;13438480
SBER;60;200323;130000;184.06;185.89;183.61;185.48;9499850
SBER;60;200323;140000;185.51;186.4;184.09;185.98;8185770
SBER;60;200323;150000;185.96;190.99;185.93;189.46;29624300
SBER;60;200323;160000;189.45;190.6;185.52;188.16;18846100
SBER;60;200323;170000;188.17;188.5;185.01;185.36;15683700
SBER;60;200323;180000;185.36;185.8;183.37;183.37;14415280
SBER;60;200324;100000;193.3;194.62;189.3;189.93;25122060
SBER;60;200324;110000;189.89;191.98;189.1;191.19;13571350
SBER;60;200324;120000;191.12;192.27;190.66;191;11575640
SBER;60;200324;130000;191;192.3;190.51;191.5;6154580
SBER;60;200324;140000;191.57;192.49;191.21;191.53;5120300
SBER;60;200324;150000;191.63;192.39;190.81;192.22;6688060
SBER;60;200324;160000;192.22;194;191.73;192.98;9859210
SBER;60;200324;170000;192.98;195;192.4;193.82;11945620
SBER;60;200324;180000;193.79;194;192.3;192.64;14244330
SBER;60;200325;100000;196.37;201;195.52;200.85;23896390
SBER;60;200325;110000;200.9;200.99;196.8;199.39;16693780
SBER;60;200325;120000;199.39;199.86;196.92;197.91;12665810
SBER;60;200325;130000;197.91;198;187.55;189.86;31800690
SBER;60;200325;140000;189.86;192.75;189.5;191.11;15529850
SBER;60;200325;150000;191.12;192;189.59;190.5;8926000
SBER;60;200325;160000;190.5;192.11;187.1;187.59;24296280
SBER;60;200325;170000;187.62;187.81;182.32;186.93;35027910
SBER;60;200325;180000;186.95;188.8;186.01;188.08;18888120
SBER;60;200326;100000;187.69;187.69;182.8;184.2;20484920
SBER;60;200326;110000;184.2;185.79;183.03;185.72;15634980
SBER;60;200326;120000;185.71;186.82;184.08;185.05;8975700
SBER;60;200326;130000;184.99;186.25;184.48;185.56;5994060
SBER;60;200326;140000;185.56;187.35;185.22;186.43;11140030
SBER;60;200326;150000;186.43;187.5;185.55;186.4;10251100
SBER;60;200326;160000;186.37;189.23;185.99;188.33;14847120
SBER;60;200326;170000;188.3;191.2;188.11;189.73;14843260
SBER;60;200326;180000;189.75;190.19;187.8;188.07;9167300
SBER;60;200327;100000;188.05;188.97;185.15;186.07;14267580
SBER;60;200327;110000;186.02;187.2;184.6;186.07;11829190
SBER;60;200327;120000;186.1;186.6;184.74;184.77;8346370
SBER;60;200327;130000;184.77;186.2;184.22;185.13;8454210
SBER;60;200327;140000;185.13;186.03;183.61;184.24;10840380
SBER;60;200327;150000;184.21;184.23;182.5;183.07;12737580
SBER;60;200327;160000;182.99;183.45;182.15;182.95;12418180
SBER;60;200327;170000;182.95;183.85;180.17;181.05;19554950
SBER;60;200327;180000;181.07;181.36;180.3;180.38;15658060
SBER;60;200330;100000;177.03;179.95;174.9;178.08;28929860
SBER;60;200330;110000;178.08;181.25;177.91;178.94;14274270
SBER;60;200330;120000;179;182.16;178.66;181.15;9111380
SBER;60;200330;130000;181.12;182.38;180.77;181.57;4366190
SBER;60;200330;140000;181.64;181.64;179.17;179.79;5665690
SBER;60;200330;150000;179.77;182.76;179.3;182.75;6579710
SBER;60;200330;160000;182.75;183.2;181.53;181.71;9008340
SBER;60;200330;170000;181.65;182.45;181.15;181.85;7483210
SBER;60;200330;180000;181.84;183.2;181.22;183;8576520
SBER;60;200331;100000;186;187.85;185.5;187.3;23128200
SBER;60;200331;110000;187.3;188.77;186.97;187.71;12860790
SBER;60;200331;120000;187.68;188.29;187.1;187.68;9383160
SBER;60;200331;130000;187.63;187.69;185.3;186.25;13881010
SBER;60;200331;140000;186.28;186.76;184.6;185.54;10949130
SBER;60;200331;150000;185.54;185.98;184.51;185.76;8863560
SBER;60;200331;160000;185.66;186.35;184.25;184.59;7001830
SBER;60;200331;170000;184.69;187.75;184.58;186.85;13822750
SBER;60;200331;180000;186.89;187.21;185.89;187.21;13715410
